 ZIP Code,Year,AnnualChange (%),HPI,HPI with 1990 base,HPI with 2000 base,tract,usps_zip_pref_city,usps_zip_pref_state,res_ratio,bus_ratio,oth_ratio,tot_ratio
77545,2017,-3.21,131.26,.,.,48157670800,FRESNO,TX,0.603007205,0.885311871,0.454545455,0.616580824
77545,2017,-3.21,131.26,.,.,48157670700,FRESNO,TX,0.022971703,0.044265594,0.045454545,0.024068938
77546,2017,4.12,350.86,228.66,175.82,48201350100,FRIENDSWOOD,TX,0,0.001201201,0,9.09E-05
77546,2017,4.12,350.86,228.66,175.82,48201350601,FRIENDSWOOD,TX,0.091271026,0.384984985,0.195833333,0.114641575
77573,2017,10.02,267.95,224.89,177.55,48167720800,LEAGUE CITY,TX,2.79E-05,0,0,2.62E-05
77581,2017,6.47,259.65,218.38,167.86,48201350100,PEARLAND,TX,0.093630333,0.002600104,0.01061008,0.083729188
77583,2017,-9.45,216.69,.,163.72,48157674502,ROSHARON,TX,0.161050183,0.252906977,0.307692308,0.163590441
77583,2017,-9.45,216.69,.,163.72,48157670800,ROSHARON,TX,0.016749751,0.104651163,0.115384615,0.019040218
77584,2017,2.51,177.71,207.6,152.14,48157670700,PEARLAND,TX,0.061956522,0.004568528,0.005319149,0.058264168
77586,2017,17.68,213.93,219.72,178.39,48201341301,SEABROOK,TX,0.020719347,0.126537786,0.11965812,0.02678496
77627,2017,5.64,426.27,228.18,171,48245011201,NEDERLAND,TX,0.262787777,0.160503541,0.427860697,0.25557129
77657,2017,4.03,289.67,232.85,149.66,48245011201,LUMBERTON,TX,9.19E-05,0,0,8.51E-05
77705,2017,4.72,166.94,.,156.45,48245011201,BEAUMONT,TX,0.047935419,0.090614887,0.034146341,0.05094605
77705,2017,4.72,166.94,.,156.45,48245011400,BEAUMONT,TX,0.010572939,0.028317152,0.007317073,0.011889542
77707,2017,6.13,359.34,214.34,161.54,48245011400,BEAUMONT,TX,0.015230461,0.007272727,0,0.013920584
77713,2017,2.05,174.76,190.7,149.82,48245011400,BEAUMONT,TX,0.438086428,0.516260163,0.391304348,0.440116722
77803,2017,5.46,313.05,329,194.59,48041000202,BRYAN,TX,0.005343446,0.054964539,0.00921659,0.009731233
77807,2017,7.72,252.61,.,196.06,48041000202,BRYAN,TX,0.70048451,0.59765625,0.694915254,0.696744317
77840,2017,9.53,295.7,335.98,234.69,48041002014,COLLEGE STATION,TX,0.008633741,0.002533249,0.002557545,0.007939961
77845,2017,3.02,282.99,239.27,176.11,48041002011,COLLEGE STATION,TX,0.065707277,0.009497207,0.006125574,0.061481616
77845,2017,3.02,282.99,239.27,176.11,48041002010,COLLEGE STATION,TX,0.063417825,0.100558659,0.044410413,0.065055424
